pidigits ; 0.018005371093750000, 0.004089355468750000,  ,  ,  4.099 
pidigits ; 0.012939453125000000, 0.002807617187500000,  ,  ,  3.841 
pidigits ; 0.017395019531250000, 0.003967285156250000,  ,  ,  3.684 
pidigits ; 0.015136718750000000, 0.004394531250000000,  ,  ,  2.85 
pidigits ; 0.015075683593750000, 0.004516601562500000,  ,  ,  2.967 
pidigits ; 0.015563964843750000, 0.004821777343750000,  ,  ,  2.893 
pidigits ; 0.015319824218750000, 0.004516601562500000,  ,  ,  2.864 
pidigits ; 0.013183593750000000, 0.003967285156250000,  ,  ,  3.849 
pidigits ; 0.013488769531250000, 0.003295898437500000,  ,  ,  3.447 
pidigits ; 0.013793945312500000, 0.003417968750000000,  ,  ,  3.324 
